id,tag,population,geometry,centroid,area_id,area_distance,area_time,fastest_id,fastest_distance,fastest_time,area_levels,fastest_levels
1,1_1_1,336,"MULTIPOLYGON (((-58.37248976408205 -34.59154657081073, -58.3726119195164 -34.59151271605257, -58.37262387894801 -34.59168254969438, -58.37369076262569 -34.59116482957569, -58.37375026920388 -34.5911535188844, -58.37397454172994 -34.59113097398711, -58.37415304516819 -34.59111218017008, -58.37400130469501 -34.59094561285296, -58.37355169374489 -34.59049584603108, -58.37379090697294 -34.59035769008431, -58.37349768114331 -34.58998309511086, -58.37268932359652 -34.5889914059596, -58.37725134888854 -34.58641866698277, -58.37721474540506 -34.58623976092085, -58.37714138487146 -34.58603223638012, -58.37705375669249 -34.58585900533531, -58.37705321764016 -34.58581187102607, -58.37692756280936 -34.58568632158698, -58.37663276927469 -34.58563867941021, -58.37553678701442 -34.58431182461941, -58.37564818111956 -34.58422221290656, -58.37577949053257 -34.58419162265631, -58.37643628980414 -34.58379319874546, -58.37729010331179 -34.58329105629355, -58.37671051198881 -34.58258912360385, -58.37662456938995 -34.58247292784486, -58.37650245224476 -34.58229676574141, -58.37638033174106 -34.58212434980506, -58.37592794697536 -34.58157332343872, -58.37583296303041 -34.58144213548961, -58.3751269621437 -34.58053519291689, -58.37397173976564 -34.57910229630308, -58.3739726628069 -34.57910026631812, -58.3738505825076 -34.57894498558219, -58.37430372802011 -34.57869977404517, -58.36800914604226 -34.57821031466192, -58.36797670775796 -34.57820824715409, -58.36794980412057 -34.57820604308331, -58.36792851228267 -34.57821074505839, -58.36790942856057 -34.5782204489518, -58.36787773267623 -34.57823943920458, -58.36542900362117 -34.57964031669189, -58.36533340436129 -34.57969503145467, -58.36531525645663 -34.57970487653688, -58.36529292408046 -34.57972521166658, -58.36524254563406 -34.58013814617915, -58.36525078319806 -34.58015681549499, -58.36527529421034 -34.58016676504783, -58.36530211350588 -34.58016875836433, -58.37056295218721 -34.58058257824058, -58.37059002672419 -34.58058499314046, -58.37060874771242 -34.58059557108134, -58.37061664049154 -34.58061916955441, -58.37059695661281 -34.58078676721598, -58.37059012103086 -34.58080824181256, -58.37057205507589 -34.58082132730634, -58.36983053505823 -34.58124486722897, -58.36902731909289 -34.58170420181086, -58.36900874575375 -34.58171376541114, -58.36898770117717 -34.58172501732079, -58.36895108356166 -34.58172794706727, -58.36892945748087 -34.58172624024424, -58.36889821037543 -34.581723751344, -58.368871305739 -34.58172140662499, -58.3652059583363 -34.58142816982556, -58.36266917580047 -34.58122744700993, -58.36263920470359 -34.58122629563611, -58.36261228529473 -34.58123655567463, -58.36054462089119 -34.58241066516362, -58.36052536134612 -34.58242339603915, -58.36050915711773 -34.58244436924151, -58.36050555339477 -34.5824667615007, -58.36046533331296 -34.58283822178101, -58.36047126402008 -34.58286259393499, -58.36048980323981 -34.58288190601963, -58.3605101421839 -34.58289178260604, -58.36053798301233 -34.58289462292926, -58.36520347462674 -34.58326338342304, -58.36609228609667 -34.5833338113367, -58.36611493190423 -34.58333763223109, -58.36613926355003 -34.58335631421284, -58.36614187627554 -34.58337962708467, -58.36614424567251 -34.58353970587298, -58.36614277635136 -34.58355850828968, -58.36613160156169 -34.58357575366885, -58.36611319150406 -34.58359073970878, -58.36607210996547 -34.58362401839979, -58.36553754762922 -34.58404670972667, -58.36520259107646 -34.58431159417039, -58.36498679039011 -34.58447840016161, -58.3649591806723 -34.58449577312201, -58.36493414167888 -34.58449934476134, -58.36490919517786 -34.58449664861096, -58.36052442746751 -34.58416050789405, -58.3599495410014 -34.58411150217113, -58.3599067788625 -34.584124354007, -58.35989489859883 -34.5841601905171, -58.3597091190953 -34.5858676377885, -58.35970857567677 -34.58589397641396, -58.35971732470588 -34.58591166056161, -58.35973195404085 -34.58592554670064, -58.35975076190955 -34.58593457701302, -58.35977902949513 -34.58593741786883, -58.35980193334837 -34.585939479517, -58.35983709874229 -34.58594204447338, -58.36361443254247 -34.5862353925756, -58.36363563215455 -34.58623857892635, -58.36365341256806 -34.58625274885433, -58.36365542735543 -34.58627711766287, -58.36352169509657 -34.58745761962179, -58.36349704544283 -34.5874910516253, -58.36344161305311 -34.58748783741361, -58.35965154718865 -34.58718468409869, -58.35961493311926 -34.58718254041727, -58.35959227586987 -34.58718738062602, -58.35956875479863 -34.58720215007397, -58.3595562115041 -34.58722277409908, -58.35955192581388 -34.58724537701187, -58.35945594554404 -34.5880799065262, -58.35947842175842 -34.58808393978246, -58.35950123859899 -34.58808797332262, -58.35952422592781 -34.58809186615196, -58.35954704312086 -34.58809561798255, -58.3595697747249 -34.58809972186319, -58.35959199522124 -34.58810396615824, -58.35961370426191 -34.58810863256961, -58.35963464629216 -34.58811379130648, -58.35963692141775 -34.58813330104486, -58.35963774958708 -34.58815224615854, -58.35964104745683 -34.58817105250709, -58.35964494176847 -34.58818957765781, -58.35965173182429 -34.58820775312694, -58.35965971459052 -34.58822550705045, -58.35966948650848 -34.58824255823067, -58.35968002509667 -34.58825939878122, -58.35969388703972 -34.58827441107734, -58.35970868631416 -34.58828893118545, -58.35972561684478 -34.58830155160631, -58.35974348505443 -34.58831339813714, -58.35976331481536 -34.58832285185863, -58.35978416853963 -34.58833061623245, -58.3598052782574 -34.58833795826657, -58.35983473511406 -34.58834382840101, -58.36083242784622 -34.58855227912606, -58.36081363390188 -34.58867078926334, -58.36079722442605 -34.58871943946323, -58.36074024548723 -34.58893602017181, -58.3607725980405 -34.58894182207388, -58.3608472704954 -34.5886710286165, -58.36087626607144 -34.58856654162641, -58.36140538890265 -34.58866973250362, -58.36346731826889 -34.58903496767764, -58.36453049601138 -34.58924886482326, -58.36519086542036 -34.58937503161551, -58.36563992182899 -34.58945732700047, -58.36682197898453 -34.58969314864442, -58.36799083861152 -34.58992348610026, -58.36797503341289 -34.5901116159819, -58.3679315748821 -34.59044064502553, -58.36777434098386 -34.59052855235513, -58.36772868806249 -34.59055786001242, -58.36753088385871 -34.59066250297645, -58.3674616032482 -34.59064799685876, -58.36742839604907 -34.59064388627123, -58.36739501732971 -34.59064083192035, -58.36736146733026 -34.59063862253019, -58.36732791620597 -34.59063739908432, -58.36729427887752 -34.59063709109083, -58.36726064026082 -34.590637909892, -58.36722708583543 -34.59063957385347, -58.36719370051711 -34.5906422943177, -58.36716039938785 -34.59064585994251, -58.36712718220473 -34.5906504820034, -58.36709430452306 -34.59065609027561, -58.36706159618587 -34.59066254377537, -58.36702922734803 -34.59066998348685, -58.36699719808919 -34.59067833898503, -58.36696550840849 -34.59068761027016, -58.36693424346363 -34.59069779740946, -58.36690340317288 -34.5907089708282, -58.36687307293658 -34.59072091931804, -58.36684333783194 -34.59073371337158, -58.36681411253779 -34.59074749377265, -58.36678539737711 -34.59076197882049, -58.36675736258591 -34.59077723907524, -58.36673000792091 -34.59079348581242, -58.36670341886427 -34.59081043739872, -58.36667751033804 -34.59082802334212, -58.36665228201785 -34.59084652534484, -58.3666279897852 -34.59086559148137, -58.36660437792039 -34.59088543282712, -58.36658170198099 -34.59090597915816, -58.36655996204821 -34.59092716005055, -58.36653898796671 -34.59094883451937, -58.3665190349701 -34.59097121404231, -58.3664999329031 -34.59099415763506, -58.3664815960387 -34.5910181582076, -58.36636387015071 -34.59119694560025, -58.366268193955 -34.5911598967518, -58.3662285217732 -34.59122317774307, -58.36631840052635 -34.59126599691844, -58.36589628899278 -34.59190674429161, -58.36580189147119 -34.59186807631387, -58.36576008632809 -34.59193417246297, -58.36584970947109 -34.5919775551783, -58.36519153221109 -34.59297678841794, -58.36504788336271 -34.5931798504836, -58.36437995933571 -34.59419533956798, -58.3643682637298 -34.59421941558566, -58.36436253752662 -34.59423666516142, -58.36435893963141 -34.59425455027923, -58.3643573855471 -34.59427250746949, -58.36435796043737 -34.59429053680058, -58.36436074979789 -34.59430835664046, -58.36436558330531 -34.59432596685144, -58.36437246137577 -34.5943430153076, -58.36438138401044 -34.59435950200852, -58.36439218121735 -34.59437514511576, -58.36440476800067 -34.59438980370902, -58.36441897403608 -34.59440347765281, -58.36443479965554 -34.59441588524385, -58.364452074617 -34.59442695591963, -58.36447045835328 -34.59443661898013, -58.36449003627489 -34.5944446632179, -58.36451029732324 -34.59445115864638, -58.36459558800067 -34.59448707370279, -58.3646147380641 -34.5944968782081, -58.36463448691824 -34.5945044295831, -58.36465526020882 -34.59450986902034, -58.36467671728438 -34.5945131962453, -58.36469843233041 -34.59451441091581, -58.36472023510301 -34.59451344246978, -58.36474161462503 -34.59451029049698, -58.364762485567 -34.59450509577955, -58.36478233711754 -34.5944977170575, -58.3648010836997 -34.59448850638903, -58.36481829950005 -34.59447746343282, -58.36483372886531 -34.59446472883529, -58.36484728630257 -34.59445058422943, -58.36485863099699 -34.59443517019321, -58.3648675922942 -34.59441876829148, -58.36487382954542 -34.5944013782516, -58.36519128382749 -34.59391823329521, -58.36567773730552 -34.59317887394359, -58.3658929794519 -34.5928510743507, -58.36590721920412 -34.59283566250927, -58.36592724221137 -34.59282687522886, -58.36595619869285 -34.59282534883175, -58.36598514154367 -34.59283558343916, -58.3660985192201 -34.59288454838748, -58.36611988751511 -34.5928906923002, -58.36614451017941 -34.59288106352103, -58.36616896121292 -34.59287256140561, -58.36619284706213 -34.59283729723087, -58.36637993461957 -34.59292061729964, -58.36635937002198 -34.59295595455782, -58.36636692707438 -34.59297525705072, -58.36636826526283 -34.59299638569141, -58.36638630379266 -34.59300992158298, -58.36677776598013 -34.59317847590837, -58.36691149618762 -34.59322914630232, -58.36697755447993 -34.59317835108464, -58.36716601358498 -34.5932551918951, -58.36715059787515 -34.59333088699993, -58.36912190691456 -34.59417329235293, -58.36905432395955 -34.59421718587711, -58.36789938522084 -34.59748663141944, -58.36788494146125 -34.59751271528052, -58.36786314190909 -34.5975197836817, -58.36783400399271 -34.59751888663302, -58.36650179512655 -34.59741889227737, -58.36648212772521 -34.59742622409458, -58.36646270647851 -34.59744460666627, -58.366456756241 -34.59747138384324, -58.36644871494534 -34.5974964466287, -58.36644212790483 -34.59755549495906, -58.36642695214404 -34.597688869495, -58.36636040253587 -34.5982579908119, -58.36609232208313 -34.59823763725261, -58.36617539873382 -34.59746739188753, -58.36617438236716 -34.59742424971471, -58.3661489307913 -34.59739363460573, -58.36610335781962 -34.59738585288987, -58.36383684418308 -34.5972078348575, -58.36382009781829 -34.59720046551417, -58.36381059628819 -34.59718764831008, -58.3643999392249 -34.59552491411134, -58.36440594265142 -34.59548928377048, -58.3644046864349 -34.59547125389436, -58.3644006194081 -34.59545357388025, -58.36439382648737 -34.59543645507185, -58.36437862007152 -34.59541414843994, -58.36436793333624 -34.59539888740957, -58.36435098959315 -34.59538352217687, -58.36431331938698 -34.59536213662093, -58.36414748133951 -34.59531786814023, -58.36408247303685 -34.59530458243464, -58.3640670709134 -34.59530383981743, -58.36404717533456 -34.59530502265432, -58.36399723075719 -34.59531132842761, -58.36397041654275 -34.59531880674365, -58.3639441864069 -34.59533014370386, -58.36392223900049 -34.59534260191457, -58.36390135676095 -34.59535769319796, -58.36388405772466 -34.59537548269458, -58.36386060473081 -34.59540739281958, -58.36384842794507 -34.59543537276766, -58.36381797954475 -34.59542792922102, -58.36380943634084 -34.59545288326098, -58.36382008347296 -34.59545548804493, -58.36379242339024 -34.59553277339834, -58.36379976849786 -34.5955345732235, -58.36379179598374 -34.59555627351394, -58.36378464708066 -34.59555448286147, -58.36358258746233 -34.59613227918287, -58.36360003622448 -34.59613546643415, -58.36353254964292 -34.59632667078994, -58.36352261073016 -34.59632427388839, -58.36349513476768 -34.5964020911637, -58.36350507368892 -34.59640448806741, -58.36341459507679 -34.59666082995942, -58.36313793377137 -34.59663766620046, -58.36276610352585 -34.59656714829683, -58.36248301303097 -34.59649867407774, -58.36223906752016 -34.59638537055751, -58.36201622711522 -34.59628560560959, -58.3616793408887 -34.59612482806079, -58.3610941512834 -34.59585788858708, -58.36111540602814 -34.59582610900329, -58.36092593003082 -34.59573934384829, -58.36090699699545 -34.59576677812665, -58.36042882679173 -34.59553777796541, -58.36037974242349 -34.59551230936042, -58.36034883764187 -34.59547724434715, -58.3603289843497 -34.5954705389854, -58.36031824701364 -34.5954293712087, -58.36031894326054 -34.59538276605353, -58.3603524366004 -34.59525720962037, -58.36036081232225 -34.59521503358031, -58.36036072109651 -34.59519446398342, -58.36036240603924 -34.59517769713896, -58.36035920113591 -34.59515939515386, -58.36033705844964 -34.59510903999229, -58.36032348119734 -34.59508697930107, -58.36030942679738 -34.59507177819093, -58.36029459783185 -34.59505707222291, -58.36028391409504 -34.59504889618089, -58.36027111762618 -34.59504072512589, -58.36023822591656 -34.59502434758627, -58.36020566174881 -34.59501810028125, -58.3601847032262 -34.59501494565337, -58.36016053713531 -34.59501399686324, -58.3601095722597 -34.59500792878241, -58.36008117971772 -34.59500216460857, -58.36004574154612 -34.59499497004056, -58.36001525057408 -34.59499595400361, -58.35988693141088 -34.59499108633869, -58.35950460536222 -34.59494661093171, -58.35943383148178 -34.59494107197614, -58.35933899352136 -34.59493091784968, -58.35930779187072 -34.59492757712952, -58.35926096089504 -34.5949282495822, -58.3592340345314 -34.59493780297966, -58.35919956694014 -34.59493723900186, -58.35914527295158 -34.59493461481241, -58.35908416450737 -34.5949331296457, -58.3589434240321 -34.59492381534068, -58.35888598392902 -34.59491779893417, -58.35883798013977 -34.5949148734684, -58.35880596916084 -34.59491971401258, -58.35874387053519 -34.59493430056541, -58.35868064345983 -34.59496215536904, -58.35867369695822 -34.59497302085251, -58.3586730649341 -34.59499032802416, -58.35866701770097 -34.59501380377475, -58.35853152317792 -34.59495046265, -58.35849994580094 -34.59493637295894, -58.35847597557447 -34.5949347502947, -58.35593162887954 -34.59477403762175, -58.35426127034422 -34.59468812486123, -58.35114009474569 -34.59516694966782, -58.3511383082587 -34.59535660321274, -58.35427953087189 -34.59485730253949, -58.35732317441999 -34.59509324204201, -58.35768851299255 -34.59514314920882, -58.35851578960173 -34.5951816778156, -58.35925236185702 -34.5952403200459, -58.3632814134076 -34.59708589894541, -58.36345093011951 -34.59712568634328, -58.36343982069057 -34.59715757993666, -58.36353356068366 -34.59718033307591, -58.363499349393 -34.59730242261733, -58.36323366517288 -34.59806139026259, -58.36373072960188 -34.59810440168079, -58.3638616777082 -34.59813619916595, -58.36408862238461 -34.59815617226341, -58.36506871831307 -34.59822766728821, -58.36596093145732 -34.59829281695686, -58.3666064564148 -34.59832501835933, -58.36735940310479 -34.59825976139462, -58.36777770298904 -34.59829297608321, -58.36798070146995 -34.59840187036615, -58.36811633184306 -34.59843718818116, -58.36951234261625 -34.59832128597998, -58.37047847709468 -34.59592763236102, -58.37218917157656 -34.59176283561309, -58.37228986631266 -34.59161417822742, -58.37235054110432 -34.59153456593985, -58.37248976408205 -34.59154657081073)))",POINT (-58.36884928489724 -34.58667867604989),9,4.849,971,9,4.849,971,3,3
2,1_12_1,341,"MULTIPOLYGON (((-58.3865223305709 -34.60399309347437, -58.38634220079723 -34.60398248753154, -58.38513264943366 -34.60391158112844, -58.38504256221641 -34.60507410237887, -58.38503862713164 -34.60518396311355, -58.38647593187769 -34.60527592921134, -58.38649510411461 -34.60517375428986, -58.3865223305709 -34.60399309347437)))",POINT (-58.38579566383168 -34.60459617394798),1,3.497,782,1,3.497,782,2,2
3,1_12_10,296,"MULTIPOLYGON (((-58.37938327879349 -34.60483817747716, -58.37800646429623 -34.6047443387825, -58.3780710188837 -34.60349151996515, -58.37665870391036 -34.60340503607478, -58.37665395405793 -34.60355102409688, -58.37657939377389 -34.60465735075631, -58.37656987903088 -34.60479847604623, -58.37652887172037 -34.60582566827068, -58.37651426933661 -34.60619179824868, -58.37650228193588 -34.60641757276155, -58.3767247081353 -34.60630117609977, -58.37750805379864 -34.60588994978815, -58.37795724683831 -34.60565419752371, -58.37937903567031 -34.60490789548102, -58.37938327879349 -34.60483817747716)))",POINT (-58.37744501969772 -34.60480336842764),8,4.41,819,8,4.41,819,2,2
4,1_12_11,528,"MULTIPOLYGON (((-58.36792114146748 -34.60517426161641, -58.36772462506434 -34.60691332785022, -58.36801284794796 -34.60692242543276, -58.3681551318853 -34.60696443871043, -58.36838054723317 -34.6069157006283, -58.368828936543 -34.60682544681334, -58.36908214726154 -34.60676717416702, -58.36922021389622 -34.60673700082976, -58.36925081809864 -34.60658956479651, -58.36936587780966 -34.60652387579885, -58.36943881203067 -34.60650195892928, -58.3696631849498 -34.60652978693177, -58.36984444358662 -34.60655262227102, -58.36984616511037 -34.60655276532096, -58.36984628049802 -34.6065527749091, -58.37019245548358 -34.60677169161919, -58.37019425809995 -34.60679046246543, -58.37030368129339 -34.60719081124965, -58.37058226702593 -34.60736391860972, -58.37062404314278 -34.60738987394278, -58.37075768688567 -34.60750922420008, -58.37082389983489 -34.60758517420643, -58.37092728832141 -34.60769946954997, -58.37091776551789 -34.60783890411193, -58.37217793510428 -34.60792935589247, -58.37318473640871 -34.60799291791323, -58.37351792403415 -34.60801393731854, -58.37351528077139 -34.60793689031266, -58.37357089704576 -34.60794052263443, -58.37500169820115 -34.60720308166531, -58.37557967513608 -34.60690052684435, -58.37650228193588 -34.60641757276155, -58.37651426933661 -34.60619179824868, -58.37652887172037 -34.60582566827068, -58.37656987903088 -34.60479847604623, -58.37657939377389 -34.60465735075631, -58.37665395405793 -34.60355102409688, -58.37665870391036 -34.60340503607478, -58.37521632833062 -34.60331661280946, -58.37384975350866 -34.60323287577605, -58.37257516055671 -34.60315475500129, -58.3724606131028 -34.603147205272, -58.37127426026731 -34.60306913613628, -58.37109405062024 -34.60305731039661, -58.37061499653232 -34.60302575145045, -58.37047251326621 -34.60301817876884, -58.37026342993681 -34.60300710465157, -58.37007444590095 -34.60299710181297, -58.36993111102213 -34.6029895278527, -58.36918286930469 -34.60292416552043, -58.36901084105398 -34.60290846959013, -58.3681856739856 -34.60283322573453, -58.36804753022553 -34.60405600837669, -58.36792114146748 -34.60517426161641)))",POINT (-58.37220861391479 -34.60526230753626),8,3.284,747,8,3.284,747,2,2
5,1_12_2,229,"MULTIPOLYGON (((-58.38513264943366 -34.60391158112844, -58.38371145909599 -34.60382820150751, -58.3837106354159 -34.60397848828014, -58.38362005559089 -34.60510058409687, -58.38373545935922 -34.60510720837733, -58.38490108008014 -34.60517514276878, -58.38503862713164 -34.60518396311355, -58.38504256221641 -34.60507410237887, -58.38513264943366 -34.60391158112844)))",POINT (-58.38437711157101 -34.60450607574628),1,3.6239999999999997,811,1,3.6239999999999997,811,2,2
6,1_12_3,723,"MULTIPOLYGON (((-58.38213360650379 -34.60501432678117, -58.38212587370328 -34.60517207401549, -58.38207809197281 -34.60614081075404, -58.3822098512333 -34.60614674303203, -58.38345017404983 -34.60622445920903, -58.38358141728535 -34.60623588283168, -58.38361454026193 -34.60516832951881, -58.38362005559089 -34.60510058409687, -58.3837106354159 -34.60397848828014, -58.38371145909599 -34.60382820150751, -58.38220553022835 -34.60373981969936, -58.38215002632705 -34.60468080408859, -58.38213360650379 -34.60501432678117)))",POINT (-58.38288855212241 -34.60498240801112),1,3.7510000000000003,855,1,3.7510000000000003,855,2,2
7,1_12_4,393,"MULTIPOLYGON (((-58.38503862713164 -34.60518396311355, -58.38490108008014 -34.60517514276878, -58.38373545935922 -34.60510720837733, -58.38362005559089 -34.60510058409687, -58.38361454026193 -34.60516832951881, -58.38358141728535 -34.60623588283168, -58.38370865761863 -34.60624702202116, -58.38487989185408 -34.60634059499853, -58.38499240123848 -34.60634749794455, -58.3850104661725 -34.60624757617502, -58.38503573982238 -34.60526621785364, -58.38503862713164 -34.60518396311355)))",POINT (-58.38431376352169 -34.60571808565916),1,3.4939999999999998,766,1,3.4939999999999998,766,2,2
8,1_12_5,600,"MULTIPOLYGON (((-58.38499240123848 -34.60634749794455, -58.38497750439569 -34.60642953374277, -58.38491754593647 -34.6074293211404, -58.38491575014703 -34.60752826729783, -58.38538010272682 -34.60755701420088, -58.38630940857169 -34.60761070012475, -58.3863082260692 -34.60750682232342, -58.38636674286414 -34.6065750640247, -58.38637666434565 -34.60643696653523, -58.38645076820888 -34.60541007340264, -58.38647593187769 -34.60527592921134, -58.38503862713164 -34.60518396311355, -58.38503573982238 -34.60526621785364, -58.3850104661725 -34.60624757617502, -58.38499240123848 -34.60634749794455)))",POINT (-58.38568163327659 -34.60639663720742),1,3.359,738,1,3.359,738,2,2
9,1_12_6,472,"MULTIPOLYGON (((-58.38499240123848 -34.60634749794455, -58.38487989185408 -34.60634059499853, -58.38370865761863 -34.60624702202116, -58.38358141728535 -34.60623588283168, -58.38345017404983 -34.60622445920903, -58.3822098512333 -34.60614674303203, -58.38207809197281 -34.60614081075404, -58.38207061999646 -34.60629285369172, -58.38202233655691 -34.60733863498622, -58.38216567833615 -34.60734795537642, -58.38350881116191 -34.60744151400088, -58.38364780898758 -34.60745118195599, -58.38491575014703 -34.60752826729783, -58.38491754593647 -34.6074293211404, -58.38497750439569 -34.60642953374277, -58.38499240123848 -34.60634749794455)))",POINT (-58.3834949618217 -34.60683591607229),1,3.623,814,1,3.623,814,2,2
10,1_12_7,786,"MULTIPOLYGON (((-58.38538010272682 -34.60755701420088, -58.38491575014703 -34.60752826729783, -58.38364780898758 -34.60745118195599, -58.38350881116191 -34.60744151400088, -58.38346429204738 -34.60857779439521, -58.38360780413701 -34.60858957808043, -58.38470761529089 -34.6086748666397, -58.38486594709085 -34.60868820767, -58.38506354256404 -34.60870481304067, -58.38614343744378 -34.60877683606173, -58.3862757948893 -34.60878551090419, -58.38630940857169 -34.60761070012475, -58.38538010272682 -34.60755701420088)))",POINT (-58.38489747442843 -34.60810762905579),1,3.227,668,1,3.227,668,2,2
